category,docs_with_mentions,doc_rate,total_mentions,mean_mentions_per_doc
performance_disparity,1353,0.9747838616714697,17816,12.835734870317003
dataset_representation,856,0.6167146974063401,5684,4.095100864553314
measurement_labeling,1385,0.9978386167146974,10280,7.406340057636887
clinical_workflow_shift,1089,0.7845821325648416,6405,4.6145533141210375
mitigation_governance,881,0.6347262247838616,2304,1.659942363112392
structural_determinants,1,0.0007204610951008645,1,0.0007204610951008645
