device_id,text_path,total_words,tech_stat_terms_count,bio_label_terms_count,structural_social_terms_count,structural_core_count,mismatch_numerator,mismatch_denominator,mismatch_metric,mismatch_metric_is_inf,mismatch_metric_safe
K240353,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K240353.txt,4169,40,0,8,0,40,8,5.0,0,5.000000
K241620,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241620.txt,4220,30,0,6,0,30,6,5.0,0,5.000000
K220439,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K220439.txt,3508,29,0,6,0,29,6,4.833333333333333,0,4.833333
K241725,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241725.txt,5299,48,0,10,0,48,10,4.8,0,4.800000
K242171,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K242171.txt,6396,52,0,11,0,52,11,4.7272727272727275,0,4.727273
K240712,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K240712.txt,7381,47,0,10,0,47,10,4.7,0,4.700000
K211733,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K211733.txt,4448,46,0,10,0,46,10,4.6,0,4.600000
K231678,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K231678.txt,2264,18,0,4,0,18,4,4.5,0,4.500000
K200667,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K200667.txt,8152,26,0,6,0,26,6,4.333333333333333,0,4.333333
K213319,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K213319.txt,3799,26,0,6,0,26,6,4.333333333333333,0,4.333333
K241719,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241719.txt,4526,30,0,7,0,30,7,4.285714285714286,0,4.285714
K243851,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K243851.txt,5305,21,0,5,0,21,5,4.2,0,4.200000
K233247,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K233247.txt,3430,25,0,6,0,25,6,4.166666666666667,0,4.166667
K251071,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K251071.txt,3580,25,0,6,0,25,6,4.166666666666667,0,4.166667
K210365,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K210365.txt,4131,29,0,7,0,29,7,4.142857142857143,0,4.142857
K252294,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K252294.txt,3907,29,0,7,0,29,7,4.142857142857143,0,4.142857
K161382,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K161382.txt,2958,16,0,4,0,16,4,4.0,0,4.000000
K210209,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K210209.txt,3090,24,0,6,0,24,6,4.0,0,4.000000
K241676,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241676.txt,13292,28,0,7,0,28,7,4.0,0,4.000000
K240860,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K240860.txt,8156,31,0,8,0,31,8,3.875,0,3.875000
K241831,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241831.txt,4311,27,0,7,0,27,7,3.857142857142857,0,3.857143
K223296,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K223296.txt,3034,19,0,5,0,19,5,3.8,0,3.800000
K210666,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K210666.txt,3431,26,0,7,0,26,7,3.7142857142857144,0,3.714286
K212519,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K212519.txt,3908,26,0,7,0,26,7,3.7142857142857144,0,3.714286
K243808,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K243808.txt,3989,26,0,7,0,26,7,3.7142857142857144,0,3.714286
K193658,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K193658.txt,3083,22,0,6,0,22,6,3.6666666666666665,0,3.666667
K221183,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K221183.txt,5291,44,0,12,0,44,12,3.6666666666666665,0,3.666667
K251408,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K251408.txt,5756,40,0,11,0,40,11,3.6363636363636362,0,3.636364
K223811,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K223811.txt,2909,18,0,5,0,18,5,3.6,0,3.600000
K230085,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K230085.txt,3039,18,0,5,0,18,5,3.6,0,3.600000
K233253,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K233253.txt,4925,18,0,5,0,18,5,3.6,0,3.600000
K202300,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K202300.txt,9102,25,0,7,0,25,7,3.5714285714285716,0,3.571429
K203517,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K203517.txt,3420,25,0,7,0,25,7,3.5714285714285716,0,3.571429
K240555,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K240555.txt,6797,50,0,14,0,50,14,3.5714285714285716,0,3.571429
K242342,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K242342.txt,3967,25,0,7,0,25,7,3.5714285714285716,0,3.571429
K220928,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K220928.txt,3096,21,0,6,0,21,6,3.5,0,3.500000
K223357,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K223357.txt,5307,21,0,6,0,21,6,3.5,0,3.500000
K243567,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K243567.txt,4600,42,0,12,0,42,12,3.5,0,3.500000
K243611,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K243611.txt,4244,27,0,8,0,27,8,3.375,0,3.375000
K211678,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K211678.txt,4109,30,0,9,0,30,9,3.3333333333333335,0,3.333333
K241891,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241891.txt,4952,23,0,7,0,23,7,3.2857142857142856,0,3.285714
K161322,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K161322.txt,2481,13,0,4,0,13,4,3.25,0,3.250000
K251983,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K251983.txt,6219,39,0,12,0,39,12,3.25,0,3.250000
K193417,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K193417.txt,2847,16,0,5,0,16,5,3.2,0,3.200000
K243831,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K243831.txt,3432,22,0,7,0,22,7,3.142857142857143,0,3.142857
K251963,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K251963.txt,4622,22,0,7,0,22,7,3.142857142857143,0,3.142857
K251985,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K251985.txt,4588,22,0,7,0,22,7,3.142857142857143,0,3.142857
K181704,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K181704.txt,3551,21,0,7,0,21,7,3.0,0,3.000000
K203235,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K203235.txt,4089,12,0,4,0,12,4,3.0,0,3.000000
K223133,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K223133.txt,3354,18,0,6,0,18,6,3.0,0,3.000000
K240285,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K240285.txt,3505,24,0,8,0,24,8,3.0,0,3.000000
K183182,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K183182.txt,3179,23,0,8,0,23,8,2.875,0,2.875000
K212783,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K212783.txt,4678,20,0,7,0,20,7,2.857142857142857,0,2.857143
K213657,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K213657.txt,2778,20,0,7,0,20,7,2.857142857142857,0,2.857143
K230020,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K230020.txt,3579,20,0,7,0,20,7,2.857142857142857,0,2.857143
K230842,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K230842.txt,4145,20,0,7,0,20,7,2.857142857142857,0,2.857143
K234141,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K234141.txt,4321,20,0,7,0,20,7,2.857142857142857,0,2.857143
K241727,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241727.txt,3816,20,0,7,0,20,7,2.857142857142857,0,2.857143
K223659,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K223659.txt,2322,14,0,5,0,14,5,2.8,0,2.800000
K242437,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K242437.txt,5256,28,0,10,0,28,10,2.8,0,2.800000
K243548,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K243548.txt,3767,19,0,7,0,19,7,2.7142857142857144,0,2.714286
K251494,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K251494.txt,4288,19,0,7,0,19,7,2.7142857142857144,0,2.714286
K222277,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K222277.txt,3604,16,0,6,0,16,6,2.6666666666666665,0,2.666667
K222329,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K222329.txt,3431,16,0,6,0,16,6,2.6666666666666665,0,2.666667
K231001,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K231001.txt,3977,16,0,6,0,16,6,2.6666666666666665,0,2.666667
K231837,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K231837.txt,5345,31,0,12,0,31,12,2.5833333333333335,0,2.583333
K092116,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K092116.txt,1787,10,0,4,0,10,4,2.5,0,2.500000
K161772,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K161772.txt,2777,15,0,6,0,15,6,2.5,0,2.500000
K190442,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K190442.txt,5363,20,0,8,0,20,8,2.5,0,2.500000
K213941,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K213941.txt,2883,25,0,10,0,25,10,2.5,0,2.500000
