device_id,has_race_token,has_ethnicity_token,has_race_or_ethnicity,has_racial_or_ethnic_adj,has_race_ethnicity_phrase,has_demographic_token,fda1_style_table_proxy
K190868,False,False,False,False,False,False,False
K190896,False,False,False,False,False,False,False
K190898,False,False,False,False,False,False,False
K190925,False,False,False,False,False,False,False
K191026,False,False,False,False,False,False,False
K191083,False,False,False,False,False,False,False
K191125,False,False,False,False,False,False,False
K191171,False,False,False,False,False,False,False
K191179,False,False,False,False,False,False,False
K191183,False,False,False,False,False,False,False
K191194,False,False,False,False,False,False,False
K191262,False,False,False,False,False,False,False
K191278,False,False,False,False,False,False,False
K191370,False,False,False,False,False,False,False
K191384,False,False,False,False,False,False,False
K191493,False,False,False,False,False,False,False
K191550,False,False,False,False,False,False,False
K191556,False,False,False,False,False,False,False
K191585,False,False,False,False,False,False,False
K191647,False,False,False,False,False,False,False
K191688,False,False,False,False,False,False,False
K191713,False,False,False,False,False,True,False
K191928,False,False,False,False,False,False,False
K191994,False,False,False,False,False,False,False
K192004,False,False,False,False,False,False,False
K192051,False,False,False,False,False,False,False
K192065,False,False,False,False,False,False,False
K192107,False,False,False,False,False,False,False
K192109,False,False,False,False,False,False,False
K192130,False,False,False,False,False,False,False
K192167,False,False,False,False,False,False,False
K192279,False,False,False,False,False,False,False
K192287,False,False,False,False,False,False,False
K192304,False,False,False,False,False,False,False
K192320,False,False,False,False,False,False,False
K192377,False,False,False,False,False,False,False
K192383,False,False,False,False,False,False,False
K192388,False,False,False,False,False,False,False
K192415,False,False,False,False,False,False,False
K192437,False,False,False,False,False,False,False
K192442,False,False,False,False,False,False,False
K192455,False,False,False,False,False,False,False
K192531,False,False,False,False,False,False,False
K192571,False,False,False,False,False,False,False
K192574,False,False,False,False,False,False,False
K192601,False,False,False,False,False,False,False
K192665,False,False,False,False,False,False,False
K192732,False,False,False,False,False,False,False
K192763,False,False,False,False,False,False,False
K192828,False,False,False,False,False,False,False
K192832,False,False,False,False,False,False,False
K192854,False,False,False,False,False,False,False
K192880,False,False,False,False,False,False,False
K192901,False,False,False,False,False,False,False
K192945,False,False,False,False,False,False,False
K192956,False,False,False,False,False,False,False
K192962,False,False,False,False,False,False,False
K192969,False,False,False,False,False,False,False
K192973,False,False,False,False,False,False,False
K193073,False,False,False,False,False,False,False
K193087,False,False,False,False,False,False,False
K193097,False,False,False,False,False,False,False
K193109,False,False,False,False,False,False,False
K193170,False,False,False,False,False,False,False
K193176,False,False,False,False,False,False,False
K193178,False,False,False,False,False,False,False
K193210,False,False,False,False,False,False,False
K193216,False,False,False,False,False,False,False
K193220,False,False,False,False,False,False,False
K193229,False,False,False,False,False,False,False
K193248,False,False,False,False,False,False,False
K193252,False,False,False,False,False,False,False
K193267,False,False,False,False,False,False,False
K193271,False,False,False,False,False,False,False
K193281,False,False,False,False,False,False,False
K193282,False,False,False,False,False,False,False
K193283,False,False,False,False,False,False,False
K193287,False,False,False,False,False,False,False
K193289,False,False,False,False,False,False,False
K193290,False,False,False,False,False,False,False
K193294,False,False,False,False,False,False,False
K193298,False,False,False,False,False,False,False
K193300,False,False,False,False,False,False,False
K193306,False,False,False,False,False,False,False
K193351,False,False,False,False,False,True,False
K193417,False,False,False,False,False,False,False
K193518,False,False,False,False,False,False,False
K193562,False,False,False,False,False,False,False
K193631,False,False,False,False,False,False,False
K193658,False,False,False,False,False,False,False
K200036,False,False,False,False,False,False,False
K200232,False,False,False,False,False,True,False
K200323,False,False,False,False,False,False,False
K200356,False,False,False,False,False,False,False
K200497,False,False,False,False,False,False,False
K200569,False,False,False,False,False,False,False
K200595,False,False,False,False,False,False,False
K200621,False,False,False,False,False,False,False
K200667,True,True,True,False,False,True,True
K200708,False,False,False,False,False,False,False
K200714,False,False,False,False,False,False,False
K200717,False,False,False,False,False,False,False
