rhetorical_habitat,habitat_group,device_id,anchor_term,sentence
generic_regulatory_other,F_other_regulatory,K080595,performance,"Tests were also conducted to validate performance including accuracy, precision and celllocation."
governance_compliance,C_governance_compliance,K080762,performance,Substantial Equivalence/ Comparison to Predicate Devices: The intended use and performance characteristics for lB NeuroTM are substantially equivalent to the predicate devices listed in section 4 above for image analysis and processing and generation of parametric maps to provide additional information beyond standard imaging.
model_optimization,B_model_optimization,K131044,monitoring,The Sensi Diagnostic Heart Murmur Algorithm or the application running on the hand held mobile device does not control the medical device (electronic stethoscope) or actively monitoring the patient.
device_hardware_monitor,D_technical_depoliticized,K180599,monitoring,"The Venue has a high resolution color LCD monitor, with a simple, multi-touch user interface that makes the system intuitive."
subgroup_stratification,E_subgroup_performance,K181861,subgroup,Table 1 and Table 2 report the PPA and the FAR separately on the adult patients (age 22 and up) and on pediatrics subgroups.
technical_statistical_bias,D_technical_depoliticized,K182456,bias,The presented data shows qualitative clinical equivalence and inter-beat interval Bland-Altman analysis with Bias of 1.2ms and 95% limits-of-agreement <20ms when compared to industry-standard 12-lead ECG device.
limitation_epistemic,A_limitation_epistemic,K220975,subgroup,"Acceptance Criteria: Validation Type Definition Acceptance Criteria 6 - 3 Traditional 510(k) Number of correctly detected frames Accuracy (%) × 100 ≥ 80% Total number of frames with nerve 1000 Speed (FPS) ≥ 2 FPS Average latency time of each frame (msec) Summary Performance data, Standard Deviations & Confidence Intervals: Validation Type Average Standard Deviation 95% CI Accuracy (%) 91.7 5.6 89.5 to 93.9 Speed (FPS) 7.93 1.11 7.04 to 8.82 Testing Data Information: Females Males Total Number of"
mixed_limitation_optimization,A_limitation_epistemic,K232856,mitigation,"Bench Testing Evaluation Summary Lesion Quantification: The results of phantom and reader studies conducted on the Lesion Quantification Algorithm, in the predicate device, were evaluated for fit for use in the subject device and it was concluded that the Algorithm can be integrated in the subject device with few design mitigations to overcome the drawbacks/limitations specified in these studies."
ai_fairness_label_section,A_limitation_epistemic,K243449,bias,Performed Artificial None Intelligence (AI)/ Machine Learning (ML) Model Population AI/ML Model None Bias/Limitation Considerations 5.
