device_id,raw_token_count,filtered_token_count,unique_filtered
K243955,2535,1371,511
K243989,2476,1307,589
K244002,2195,1125,607
K244023,1799,903,464
K244027,1974,981,453
K250003,12810,8983,1662
K250005,2800,1546,617
K250023,2561,1345,545
K250035,2959,1632,712
K250042,3275,1561,560
K250064,2685,1422,591
K250086,3264,1822,670
K250087,2624,1419,612
K250096,6822,4009,1268
K250119,2428,1217,535
K250151,2798,1454,657
K250177,2665,1351,474
K250186,1667,812,455
K250221,4084,2268,693
K250226,4690,2499,822
K250236,2547,1381,661
K250237,2703,1373,564
K250246,4398,2426,849
K250248,2726,1436,605
K250255,2783,1525,606
K250264,1880,900,498
K250268,3748,2101,814
K250288,2460,1235,575
K250290,3160,1598,611
K250328,1812,757,393
K250330,3140,1652,622
K250337,3411,1873,755
K250354,2454,1282,493
K250367,2551,1242,540
K250369,3455,1743,681
K250370,2775,1409,574
K250379,1984,980,450
K250416,3106,1638,588
K250427,2710,1451,562
K250436,3373,1852,877
K250440,3217,1929,798
K250443,4375,2466,872
K250484,2896,1486,617
K250507,4006,2093,761
K250515,3007,1597,589
K250525,3622,2060,801
K250543,2000,1015,500
K250569,1739,817,391
K250649,3279,1779,661
K250650,3863,2287,662
K250652,2499,1267,476
K250660,3810,2176,646
K250662,3121,1525,540
K250670,2055,929,525
K250685,3293,1768,555
K250686,4914,2791,774
K250694,2349,1074,480
K250738,2838,1484,579
K250749,2440,1190,540
K250753,2599,1220,606
K250754,1014,417,293
K250755,1716,790,438
K250766,2192,1104,469
K250780,2228,1114,509
K250788,2765,1541,617
K250818,3125,1791,686
K250831,2510,1227,536
K250877,3361,1836,586
K250882,2515,1347,502
K250886,4548,2496,638
K250901,2917,1602,709
K250902,3286,1790,745
K250914,2251,1153,563
K250932,2353,1121,458
K250941,2371,1202,579
K250959,3266,2011,685
K250984,2391,1163,603
K250999,4492,2443,685
K251002,3208,1701,648
K251009,2149,1182,568
K251027,3317,1841,637
K251029,3882,2232,817
K251059,3095,1636,669
K251071,2431,1401,471
K251072,2322,1152,547
K251078,3186,1639,653
K251082,5014,3012,818
K251096,3092,1464,525
K251106,2885,1721,646
K251110,4145,2316,655
K251126,2706,1457,538
K251151,2399,1168,484
K251153,2407,1249,544
K251167,3534,1947,800
K251169,3452,2037,897
K251203,1648,724,414
K251221,2524,1262,531
K251276,2540,1369,650
K251293,2587,1432,634
K251316,3805,2342,769
K251322,3042,1710,687
K251342,2626,1450,700
K251355,2022,1003,487
K251368,5559,3198,982
K251370,2963,1563,603
K251386,3485,1945,692
K251397,2499,1232,506
K251399,2083,1047,461
K251406,2863,1466,621
K251408,3268,1778,627
K251416,3021,1537,640
K251455,3720,2042,599
K251456,2656,1304,532
K251481,2738,1568,527
K251483,2230,1153,517
K251494,3083,1651,572
K251506,2469,1285,547
K251514,2858,1518,621
K251518,2744,1542,596
K251527,1997,936,493
K251528,2741,1369,591
K251532,3672,2050,551
K251533,2331,1149,485
K251590,2794,1429,566
K251602,2394,1197,567
K251610,2363,1155,503
K251629,2277,1215,534
K251639,1992,979,499
K251651,2953,1599,482
K251656,1912,910,445
K251657,3216,1604,663
K251673,1988,923,516
K251682,3639,2128,812
K251747,3820,2080,654
K251763,2408,1199,505
K251766,2636,1406,556
K251822,3672,1838,688
K251837,3327,1878,740
K251839,4244,2426,840
K251873,2089,1001,511
K251931,3259,1885,611
K251936,3150,1569,637
K251963,3331,1848,744
K251983,4558,2635,685
K251985,3308,1830,729
K251987,2834,1657,594
K252007,2342,1146,614
K252029,3359,1974,667
K252041,2771,1424,560
K252054,2958,1525,640
K252074,2606,1334,610
K252086,2590,1399,607
K252103,4425,2552,744
K252105,1989,1019,550
K252178,2013,1067,488
K252204,2490,1274,591
K252214,1845,874,496
K252217,3039,1651,661
K252235,2466,1165,566
K252284,2586,1300,522
K252294,2661,1500,511
K252298,2180,1021,541
K252328,2648,1417,707
K252330,3895,2353,600
K252362,3033,1571,603
K252366,3286,1808,724
K252371,2273,1089,459
K252379,2608,1494,656
K252452,3397,1605,536
K252482,3204,1727,693
K252497,2417,1310,525
K252504,3211,1806,638
K252539,2779,1491,671
K252557,2971,1560,591
K252586,2693,1347,543
K252665,2619,1344,577
K252670,2591,1534,626
K252838,5893,3479,798
K252856,3704,1770,587
K252922,2466,1252,556
K253091,3884,1983,646
K253141,2436,1185,454
K253265,3128,1716,625
K253269,3988,2280,843
K253310,1935,969,494
K253489,2674,1432,611
K253516,1939,971,440
K253532,2773,1497,658
K253664,2693,1463,527
K955841,4943,3250,1137
P000041,1777,788,387
P010034,1749,818,400
P040028,1888,922,526
P090012,1771,873,453
P110014,1324,631,348
P140011_S008,1078,467,283
P150043,1058,461,287
P150046,1167,528,313
P160009,1097,488,294
P200003,1273,556,341
P210011,1288,587,354
P210015,1820,860,448
P230022,1790,796,420
