Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
10/30/2025,K250337,AiORTA - Plan,"ViTAA Medical Solutions, Inc.",Radiology,QIH
10/29/2025,K251985,LOGIQ E10,Ge Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN
10/29/2025,K251963,LOGIQ E10s,Ge Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN
10/29/2025,K250882,SANSA HSAT,Huxley Medical,Anesthesiology,MNR
10/27/2025,K251027,cvi42 Coronary Plaque Software Application,"Circle Cardiovascular Imaging, Inc.",Radiology,QIH
10/24/2025,K251059,Syngo Carbon Clinicals (VA41),Siemens Healthineers AG,Radiology,QIH
10/23/2025,K250288,TeraRecon Cardiovascular.Calcification.CT,"Terarecon,Inc.",Radiology,QIH
10/22/2025,K252298,ANDI 2.0,"Imeka Solutions, Inc.",Radiology,QIH
10/20/2025,K252665,brAIn Shoulder Positioning,Avatar Medical,Radiology,QIH
10/17/2025,K251673,X9 Ultrasound System,"X9, Inc.",Radiology,SGH
10/17/2025,K251355,X1-FFR,"Spectrawave, Inc.",Radiology,QHA
10/10/2025,K251602,"Alphenix, INFX-8000V/B, INFX-8000V/S, V9.6 with aEvolve Imaging",Canon Medical Systems Corporation,Radiology,OWB
10/10/2025,K251082,HYDROS Robotic System (HY1000); HYDROS Handpiece (HH1000); HYDROS TRUS Probe (HU1000),Procept Biorobotics,General and Plastic Surgery,PZP
10/09/2025,K251651,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,"Philips Ultrasound, LLC",Radiology,IYN
10/07/2025,K252214,AIAS Cephalon,Metamorphosis GmbH,Radiology,QIH
10/06/2025,K252007,BlineSlide,"Deep Breathe, Inc.",Radiology,QIH
10/03/2025,K250662,Bunkerhill MAC,Bunkerhill Health,Radiology,JAK
10/03/2025,K252178,MAGENTIQ-COLO (ME-APDS),"Magentiq Eye, Ltd.",Gastroenterology-Urology,QNP
10/03/2025,K251639,xvision Spine system,"Augmedics, Ltd.",Neurology,SBF
10/02/2025,K250766,LungQ 4,Thirona BV,Radiology,JAK
09/29/2025,K250023,SMART PCFD,Disior Ltd,Radiology,QIH
09/29/2025,K252054,SpineAR SNAP (SyncAR Spine),"Surgical Theater, Inc.",Neurology,SBF
09/26/2025,K252105,Ligence Heart,"Ligence, UAB",Radiology,QIH
09/25/2025,K252371,uMR 680,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH
09/25/2025,K251527,Brain WMH,Quantib BV,Radiology,QIH
09/23/2025,K251483,SwiftSight-Brain,AIRS Medical Inc.,Radiology,QIH
09/23/2025,K251987,Rapid Aortic Measurements,"iSchemaView, Inc.",Radiology,QIH
09/19/2025,K251167,uDR Aurora CX,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPR
09/19/2025,K251002,Videa Dental AI,VideaHealth Inc.,Radiology,MYN
09/19/2025,K250649,Bunkerhill ECG-EF,BunkerHill Health,Cardiovascular,QYE
09/18/2025,K250369,Axial3D Insight,Axial Medical Printing Limited,Radiology,QIH
09/17/2025,K251386,ECHELON Synergy,Fujifilm Corporation,Radiology,LNH
09/17/2025,K251221,Assert-IQ  (DM5000); Assert-IQ (DM5300); Assert-IQ (DM5500); Merlin.net (MN7000),Abbott,Cardiovascular,MXD
09/15/2025,K250237,InferOperate Suite,"Beijing Infervision Healthcare Medical Technology Co., Ltd.",Radiology,QIH
09/12/2025,K252586,CADDIE,Odin Medical Limited,Gastroenterology-Urology,QNP
09/12/2025,K251518,Volta AF-Xplorer II,Volta Medical,Cardiovascular,DQK
09/12/2025,K251368,FETOLY,Diagnoly,Radiology,IYN
09/11/2025,K251399,SIGNA Sprint,"GE Medical Systems, LLC",Radiology,LNH
09/11/2025,K250507,Hypertension Notification Feature (HTNF),Apple Inc.,Cardiovascular,SFR
09/11/2025,K251316,Mazor X System / Mazor X Stealth Edition,Mazor Robotics Ltd.,Neurology,OLO
09/10/2025,K244002,AngioWaveNet,"Angiowave Imaging, Inc.",Radiology,QIH
09/09/2025,K251072,Segmentron Viewer,"DGNCT, LLC",Radiology,QIH
09/09/2025,K251682,MuscleView 2.0,"Springbok, Inc. (dba Springbok Analytics)",Radiology,LNH
09/08/2025,K251931,BioTraceIO Vision  (V1.7),Techsomed Medical Technologies,Radiology,QTZ
09/08/2025,K251610,qER-CTA (v1.0),Qure.ai Technologies,Radiology,QAS
09/04/2025,K251533,"Rapid Obstructive Hydrocephalus, Rapid OH",iSchemaView Inc.,Radiology,QAS
09/04/2025,K250064,Dose+ (1.0),Mvision AI Oy,Radiology,MUJ
09/04/2025,K251656,Careverse CoronaryDoc (Careverse CoronaryDoc),Careverse Technology Pte. Ltd.,Radiology,QIH
09/03/2025,K252539,Tempus Pixel,"Arterys, Inc.",Radiology,QIH
09/02/2025,K251408,OsteoSight Hip (v1),Naitive Technologies Ltd,Radiology,SAO
09/02/2025,K250753,VELMENI for DENTISTS (V4D),Velmeni Inc.,Radiology,MYN
08/29/2025,K251106,Sonosite LX and Sonosite PX Ultrasound Systems,Fujifilm Sonosite Inc,Radiology,IYN
08/29/2025,K250003,GENESEEQPRIME NGS Tumor Profiling Assay (FFPE) (GS6005),Geneseeq Technology Inc.,Pathology,PZM
08/29/2025,K250290,SurgiTwin,Twinsight,Radiology,LLZ
08/29/2025,K243859,PRAEVAorta®2,Nurea,Radiology,QIH
08/28/2025,K250788,Definium Tempo Select,"GE Hualun Medical Systems Co., Ltd",Radiology,KPR
08/27/2025,K243687,Vital Signs,Oxehealth Limited,Cardiovascular,QME
08/26/2025,K251983,Brainomix 360 Triage Stroke,Brainomix Limited,Radiology,QAS
08/22/2025,K252362,GBrain MRI,"Galileo CDS, Inc",Radiology,QIH
08/22/2025,K243685,MammoScreen BD,Therapixel,Radiology,QIH
08/21/2025,K251029,"Vista OS, Vista AI Scan, RTHawk","Vista AI, Inc.",Radiology,LNH
08/20/2025,K251590,Methinks CTA Stroke,Methinks Software S.L.,Radiology,QAS
08/20/2025,K251837,Salix Coronary Plaque (V1.0.0),Artrya Limited,Radiology,QIH
08/20/2025,K251481,ACUSON Sequoia Diagnostic Ultrasound System; ACUSON Sequoia Select Diagnostic Ultrasound System; ACUSON Origin Diagnostic Ultrasound System; ACUSON Origin ICE Diagnostic Ultrasound System,"Siemens Medical Solutions USA, Inc.",Radiology,IYN
08/15/2025,K251747,VEA Align; spineEOS,EOS imaging,Radiology,QIH
08/15/2025,K250818,Nerveblox,Smart Alfa Teknoloji San. Ve Tic. A.S.,Anesthesiology,QRG
08/15/2025,K243851,CHLOE BLAST,Fairtility Ltd.,Obstetrics and Gynecology,PBH
08/12/2025,K250755,DS Core Diagnosis,Dentsply Sirona Inc.,Radiology,QIH
08/12/2025,K251494,Eko Foundation Analysis Software with Transformers (EFAST),"Eko Health, Inc.",Cardiovascular,DQD
08/11/2025,K251873,Saige-Dx,"DeepHealth, Inc.",Radiology,QDQ
08/07/2025,K251629,UNiD Spine Analyzer,Medicrea International S.A.S. (Medtronic),Radiology,QIH
08/06/2025,K250569,Cardiologs Holter Platform,Philips France Commercial,Cardiovascular,DPS
08/05/2025,K250246,uMR Jupiter,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH
08/01/2025,K250941,Revolution Vibe,"GE Medical Systems, LLC",Radiology,JAK
07/31/2025,K243341,Genius AI Detection 2.0,"Hologic, Inc.",Radiology,QDQ
07/31/2025,K250738,YSIO X.pree,Siemens Medical Solutions,Radiology,KPR
07/31/2025,DEN240068,ArteraAI Prostate,Artera Inc.,Pathology,SFH
07/30/2025,K243919,Voxel Dosimetry (00859873006226),Hermes Medical Solutions AB,Radiology,QIH
07/28/2025,K250652,ECG-AI Low Ejection Fraction (LEF) 12-Lead algorithm (1010),"Anumana, Inc.",Cardiovascular,QYE
07/25/2025,K251322,Venue; Venue Go; Venue Fit; Venue Sprint,"GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN
07/24/2025,K251455,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN
07/23/2025,K243681,Neuro Insight V1.0,Olea Medical S.A.S.,Radiology,LLZ
07/22/2025,K250901,"Vantage Fortian/Orian 1.5T, MRT-1550, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
07/22/2025,K250686,GyriCalc (Version 1.0.0),NeuroSpectrum Insights Corp.,Radiology,LLZ
07/18/2025,K250902,HeartFlow Analysis,"HeartFlow, Inc.",Cardiovascular,PJA
07/18/2025,K250999,V8 Diagnostic Ultrasound System; cV8 Diagnostic Ultrasound System; V7 Diagnostic Ultrasound System; cV7 Diagnostic Ultrasound System; V6 Diagnostic Ultrasound System; cV6 Diagnostic Ultrasound System; V5 Diagnostic Ultrasound System; cV5 Diagnostic Ultrasound System; V4 Diagnostic Ultrasound System; cV4 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN
07/17/2025,K243547,uMR Ultra,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH
07/17/2025,K251839,uMI Panvivo (uMI Panvivo); uMI Panvivo (uMI Panvivo S),"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS
07/16/2025,K243397,uMR 680,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH
07/16/2025,K251151,Rapid CTA 360,iSchemaView,Radiology,QAS
07/16/2025,K251342,EchoPAC Software Only / EchoPAC Plug-in,GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,QIH
07/15/2025,K250119,Tempus ECG-Low EF,"Tempus AI, Inc.",Cardiovascular,QYE
07/14/2025,K251096,PeekMed web,"Peek Health, S.A.",Radiology,QIH
07/14/2025,K250660,LUMINOS Q.namix T; LUMINOS Q.namix R,Siemens Medical Solutions,Radiology,OWB
07/10/2025,K251169,Vivid Pioneer,GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN
07/08/2025,K251766,TumorSight Viz,"SimBioSys, Inc.",Radiology,QIH
07/07/2025,K243884,TAVIPILOT,Caranx Medical,Radiology,OWB
07/03/2025,K243679,MammoScreen® (4),Therapixel,Radiology,QDQ
07/03/2025,K251528,syngo.via MI Workflows; Scenium; syngo MBF,"Siemens Medical Solutions USA, Inc.",Radiology,QIH
07/01/2025,K250221,StrokeSENS ASPECTS Software Application,Circle Cardiovascular Imaging Inc.,Radiology,POK
07/01/2025,K243779,Bunkerhill Abdominal Aortic Quantification (AAQ),BunkerHill Health,Radiology,QIH
07/01/2025,K250096,Felix NeuroAI  System,Fasikl Incorporated,Neurology,QBC
06/30/2025,K250484,PIUR tUS inside,PIUR Imaging GmbH,Radiology,QIH
06/30/2025,K243647,Synapse PACS (7.5),FUJIFILM Healthcare Americas Corporation,Radiology,QIH
06/30/2025,K250670,EchoConfidence (USA),Mycardium AI Limited,Radiology,QIH
06/27/2025,K250984,Maestro System (REF100),Moon Surgical,Gastroenterology-Urology,QZB
06/27/2025,K243144,X100/X100HT with Full Field Peripheral Blood Smear (PBS) Application,"Scopio Labs , Ltd.",Hematology,JOY
06/24/2025,K250268,HyperSnap Surgical System (HSS),Hypervision Surgical,Gastroenterology-Urology,SFE
06/20/2025,K250877,TMINI Miniature Robotic System,"THINK Surgical, Inc.",Neurology,OLO
06/20/2025,K250151,Us2.ca,Eko.Ai Pte Ltd. D/B/A Us2.Ai,Cardiovascular,SDJ
06/19/2025,K250515,EpiMonitor,Empatica  Srl,Neurology,POS
06/18/2025,K250886,EPIQ Series Diagnostic Ultrasound Systems; Affiniti Series Diagnostic Ultrasound Systems,Philips Ultrasound LLC,Radiology,IYN
06/18/2025,K243253,6600 Ultrasound System (MyLabA50); 6600 Ultrasound System (MyLabA70),Esaote S.p.A.,Radiology,IYN
06/18/2025,K243672,CardIQ Suite,GE Medical Systems SCS,Radiology,JAK
06/17/2025,K250440,"RT Elements  (4.5); (Elements) Multiple Brain Mets SRS; (Elements) Cranial SRS; (Elements) Spine SRS; (Elements) Cranial SRS w/ Cones; (Elements) RT Planning Platform; (Elements) Dose Review; (Elements) Retreatment Review; Elements Segmentation [Cranial , Basal Ganglia, Head & Neck, Pelvic, Spine, Thoracic & Spine, Extracranial] RT; Elements AI Tumor Segmentation RT; Elements SmartBrush [Angio, Spine] RT; Elements Object Management RT",Brainlab AG,Radiology,MUJ
06/16/2025,K250436,MAGNETOM Flow.Ace; MAGNETOM Flow.Plus,"Siemens Shenzhen Magnetic Resonance , Ltd.",Radiology,LNH
06/16/2025,K250443,MAGNETOM Avanto Fit; MAGNETOM Skyra Fit; MAGNETOM Sola Fit; MAGNETOM Viato.Mobile,Siemens Healthcare GmbH,Radiology,LNH
06/16/2025,K250685,Methinks NCCT Stroke,Methinks Software S.L.,Radiology,QAS
06/15/2025,K240795,Withings ECG App,Withings,Cardiovascular,QDA
06/13/2025,K243633,Brainlab Elements (7.0); Brainlab Elements Image Fusion (5.0); Brainlab Elements Image Fusion Angio (1.0); Brainlab Elements Contouring (5.0); Brainlab Elements Fibertracking (3.0); Brainlab Elements BOLD MRI Mapping (1.0),Brainlab AG,Radiology,QIH
06/12/2025,K243234,Second Opinion® CS,Pearl Inc.,Radiology,MYN
06/12/2025,K251153,Aurora,GE Medical Systems Israel,Radiology,KPS
06/10/2025,K250354,"Viz Subdural+, Viz SUBDURAL PLUS","Viz.ai, Inc.",Radiology,QIH
06/06/2025,K251009,Cirrus Resting State fMRI Software,"Sora Neuroscience, Inc.",Radiology,QIH
